ISO639_3,ISO639_2,ISO639_1,english_name,native_name
,aar,aa,Afar,Afar
,abk,ab,Abkhazian,Аҧсуа
,ace,,Achinese,
,ach,,Acoli,
,ada,,Adangme,
,ady,,Adyghe; Adygei,
,afa,,Afro-Asiatic languages,
,afh,,Afrihili,
,afr,af,Afrikaans,Afrikaans
,ain,,Ainu,
,aka,ak,Akan,Akana
,akk,,Akkadian,
,alb,sq,Albanian,Shqip
,ale,,Aleut,
,alg,,Algonquian languages,
,alt,,Southern Altai,
,amh,am,Amharic,አማርኛ
,ang,,English,Old (ca.450-1100),Angal Heneng
,anp,,Angika,
,apa,,Apache languages,
,ara,ar,Arabic,العربية
,arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),ܣܘܪܬ
,arg,an,Aragonese,Aragonés
,arm,hy,Armenian,Հայերեն
,arn,,Mapudungun; Mapuche,
,arp,,Arapaho,
,art,,Artificial languages,
,arw,,Arawak,
,asm,as,Assamese,অসমীয়া
,ast,,Asturian; Bable; Leonese; Asturleonese,Asturianu
,ath,,Athapascan languages,
,aus,,Australian languages,
,ava,av,Avaric,Авар
,ave,ae,Avestan,
,awa,,Awadhi,Awadhi
,aym,ay,Aymara,Aymar
,aze,az,Azerbaijani,Azərbaycanca / آذربايجان
,bad,,Banda languages,
,bai,,Bamileke languages,
,bak,ba,Bashkir,Башҡорт
,bal,,Baluchi,
,bam,bm,Bambara,Bamanankan
,ban,,Balinese,
,baq,eu,Basque,Euskara
,bas,,Basa,
,bat,,Baltic languages,
,bej,,Beja; Bedawiyet,
,bel,be,Belarusian,Беларуская
,bem,,Bemba,
,ben,bn,Bengali,বাংলা
,ber,,Berber languages,
,bho,,Bhojpuri,
,bih,bh,Bihari languages,भोजपुरी
,bik,,Bikol,
,bin,,Bini; Edo,
,bis,bi,Bislama,Bislama
,bla,,Siksika,
,bnt,,Bantu languages,
,bos,bs,Bosnian,Bosanski
,bra,,Braj,
,bre,br,Breton,Brezhoneg
,btk,,Batak languages,
,bua,,Buriat,
